County_State,State,Total_Population,Male_Population,Female_Population,State_Code,County_Code,Median_Income,Margin_Error_Income,Percent_Male,Percent_Female
Monroe County, Georgia,27957,26833,62,13,207,60491,6143,95.98,0.22
Murray County, Georgia,39973,37164,68,13,213,51133,3034,92.97,0.17
Oconee County, Georgia,41799,39413,93,13,219,95064,6352,94.29,0.22
Peach County, Georgia,27981,26530,86,13,225,50267,5881,94.81,0.31
Pierce County, Georgia,19716,18978,22,13,229,48969,2453,96.26,0.11
Pulaski County, Georgia,9855,9578,9,13,235,42213,6447,97.19,0.09
Rabun County, Georgia,16883,15796,42,13,241,44871,2627,93.56,0.25
Richmond County, Georgia,206607,195001,914,13,245,43882,1394,94.38,0.44
Screven County, Georgia,14067,13621,43,13,251,39852,7510,96.83,0.31
Stephens County, Georgia,26784,25199,77,13,257,46766,4424,94.08,0.29
Talbot County, Georgia,5733,5572,16,13,263,40020,6613,97.19,0.28
Tattnall County, Georgia,22842,21798,76,13,267,44053,4224,95.43,0.33
Terrell County, Georgia,9185,8942,18,13,273,35335,6254,97.35,0.2
Toombs County, Georgia,27030,25660,53,13,279,41244,2402,94.93,0.2
Troup County, Georgia,69426,66486,158,13,285,46796,2128,95.77,0.23
Twiggs County, Georgia,8022,7744,21,13,289,43477,6433,96.53,0.26
Walker County, Georgia,67654,64260,92,13,295,46601,1338,94.98,0.14
Warren County, Georgia,5215,5097,15,13,301,38250,3904,97.74,0.29
Wayne County, Georgia,30144,28867,59,13,305,45773,3607,95.76,0.2
White County, Georgia,28003,26389,43,13,311,55788,5409,94.24,0.15
Wilkes County, Georgia,9565,9172,23,13,317,36486,3773,95.89,0.24
Worth County, Georgia,20784,20132,26,13,321,50913,3893,96.86,0.13
Hawaii County, Hawaii,200629,141384,19500,15,1,65401,1919,70.47,9.72
Honolulu County, Hawaii,1016508,767822,80438,15,3,87722,1252,75.54,7.91
Kalawao County, Hawaii,82,60,3,15,5,76465,585,73.17,3.66
Kauai County, Hawaii,73298,53290,6470,15,7,82818,4855,72.7,8.83
Maui County, Hawaii,164754,124586,12436,15,9,84363,2227,75.62,7.55
Ada County, Idaho,494967,453110,2155,16,1,69952,1549,91.54,0.44
Adams County, Idaho,4379,4159,16,16,3,50309,3186,94.98,0.37
Bannock County, Idaho,87018,81011,314,16,5,51977,2046,93.1,0.36
Bear Lake County, Idaho,6372,6137,27,16,7,52829,3650,96.31,0.42
Benewah County, Idaho,9530,8850,16,16,9,47983,2962,92.86,0.17
Bingham County, Idaho,47992,44507,136,16,11,58260,2673,92.74,0.28
Blaine County, Idaho,24272,22051,62,16,13,64627,4953,90.85,0.26
Boise County, Idaho,7610,7125,30,16,15,51760,7210,93.63,0.39
Bonner County, Idaho,47110,44232,101,16,17,51594,3114,93.89,0.21
Bonneville County, Idaho,123964,115090,430,16,19,61435,1525,92.84,0.35
Boundary County, Idaho,12056,11294,41,16,21,45319,5784,93.68,0.34
Butte County, Idaho,2574,2431,12,16,23,37404,14947,94.44,0.47
Camas County, Idaho,1077,978,19,16,25,36908,9351,90.81,1.76
Canyon County, Idaho,231105,202877,1116,16,27,56916,1858,87.79,0.48
Caribou County, Idaho,7027,6737,18,16,29,58099,4380,95.87,0.26
Cassia County, Idaho,24655,22548,96,16,31,52256,2652,91.45,0.39
Clark County, Idaho,790,686,14,16,33,36429,11406,86.84,1.77
Custer County, Idaho,4275,4059,18,16,37,44757,9055,94.95,0.42
Franklin County, Idaho,14194,13527,35,16,41,59934,6190,95.3,0.25
Fremont County, Idaho,13388,12729,34,16,43,56825,4702,95.08,0.25
Gooding County, Idaho,15598,13768,54,16,47,50057,8237,88.27,0.35
Idaho County, Idaho,16541,15637,38,16,49,44951,3402,94.53,0.23
Jerome County, Idaho,24237,20942,74,16,53,55521,3380,86.41,0.31
Latah County, Idaho,39517,36637,160,16,57,51312,2506,92.71,0.4
Lemhi County, Idaho,7974,7598,5,16,59,38819,4174,95.28,0.06
Lincoln County, Idaho,5127,4498,24,16,63,52363,3188,87.73,0.47
Madison County, Idaho,52913,49976,195,16,65,44419,4005,94.45,0.37
Nez Perce County, Idaho,42090,39520,114,16,69,57099,4933,93.89,0.27
Owyhee County, Idaho,11913,10641,71,16,73,48601,7189,89.32,0.6
Payette County, Idaho,25386,22758,72,16,75,52788,4101,89.65,0.28
Shoshone County, Idaho,13169,12376,21,16,79,40483,3694,93.98,0.16
Teton County, Idaho,11630,10761,35,16,81,73274,8027,92.53,0.3
Valley County, Idaho,11746,11064,31,16,85,63115,10879,94.19,0.26
Washington County, Idaho,10500,9592,44,16,87,42126,4048,91.35,0.42
Clearwater County, Idaho,8734,8321,15,16,35,42413,6304,95.27,0.17
Elmore County, Idaho,28666,25651,183,16,39,45656,2570,89.48,0.64
Gem County, Idaho,19123,17691,62,16,45,53720,4750,92.51,0.32
Jefferson County, Idaho,30891,29272,77,16,51,65577,3698,94.76,0.25
Kootenai County, Idaho,171362,158839,648,16,55,60903,2525,92.69,0.38
Lewis County, Idaho,3533,3328,13,16,61,42370,3999,94.2,0.37
Minidoka County, Idaho,21613,19113,57,16,67,53011,2954,88.43,0.26
Oneida County, Idaho,4564,4401,13,16,71,54484,8761,96.43,0.28
Power County, Idaho,7878,7169,41,16,77,51014,8845,91,0.52
Twin Falls County, Idaho,90046,82210,255,16,83,53363,2342,91.3,0.28
Alexander County, Illinois,5240,4978,8,17,3,34709,4890,95,0.15
Boone County, Illinois,53448,47368,181,17,7,70396,3864,88.62,0.34
Brown County, Illinois,6244,6066,12,17,9,60694,8550,97.15,0.19
Calhoun County, Illinois,4437,4271,10,17,13,66602,8219,96.26,0.23
Carroll County, Illinois,15702,15097,22,17,15,52813,3815,96.15,0.14
Champaign County, Illinois,205865,190868,849,17,19,53936,1422,92.72,0.41
Clark County, Illinois,15455,15025,12,17,23,59481,4552,97.22,0.08
Clay County, Illinois,13288,12781,35,17,25,52167,4104,96.18,0.26
Coles County, Illinois,46863,44597,120,17,29,46411,2692,95.16,0.26
Cook County, Illinois,5275541,4728989,26073,17,31,67886,571,89.64,0.49
Cumberland County, Illinois,10450,10092,24,17,35,59271,7235,96.57,0.23
DeKalb County, Illinois,100420,91702,417,17,37,62353,2459,91.32,0.42
Douglas County, Illinois,19740,18871,18,17,41,59620,3939,95.6,0.09
Edgar County, Illinois,16866,16346,21,17,45,48543,4107,96.92,0.12
Edwards County, Illinois,6245,6099,5,17,47,53801,2805,97.66,0.08
Fayette County, Illinois,21488,20910,29,17,51,45634,2969,97.31,0.13
Ford County, Illinois,13534,12849,42,17,53,50582,5172,94.94,0.31
Fulton County, Illinois,33609,32541,30,17,57,52243,2343,96.82,0.09
Gallatin County, Illinois,4946,4777,17,17,59,43092,6027,96.58,0.34
Grundy County, Illinois,52533,48442,133,17,63,75767,3387,92.21,0.25
Hancock County, Illinois,17620,16990,30,17,67,55818,3216,96.42,0.17
Hardin County, Illinois,3649,3466,5,17,69,50847,7574,94.98,0.14
Henry County, Illinois,49284,46601,81,17,73,60000,2270,94.56,0.16
Iroquois County, Illinois,27077,25393,55,17,75,54445,3625,93.78,0.2
Jasper County, Illinois,9287,9072,6,17,79,55911,4724,97.68,0.06
Jefferson County, Illinois,37113,35089,91,17,81,51662,2698,94.55,0.25
Jersey County, Illinois,21512,20552,27,17,83,67845,6198,95.54,0.13
Jo Daviess County, Illinois,22035,21189,30,17,85,59223,3078,96.16,0.14
Johnson County, Illinois,13308,12877,10,17,87,55363,3179,96.76,0.08
Kane County, Illinois,516522,449781,2389,17,89,83374,1859,87.08,0.46
Kankakee County, Illinois,107502,99724,359,17,91,59370,2091,92.76,0.33
Kendall County, Illinois,131869,116480,649,17,93,96854,3945,88.33,0.49
Knox County, Illinois,49967,46760,156,17,95,44464,2327,93.58,0.31
Lake County, Illinois,714342,637952,3286,17,97,92654,1515,89.31,0.46
LaSalle County, Illinois,109658,101803,267,17,99,60069,1596,92.84,0.24
Lawrence County, Illinois,15280,14736,34,17,101,53087,7478,96.44,0.22
Lee County, Illinois,34145,32257,45,17,103,59986,3816,94.47,0.13
Livingston County, Illinois,35815,34181,82,17,105,58676,3014,95.44,0.23
Logan County, Illinois,27987,26858,46,17,107,58122,2854,95.97,0.16
McDonough County, Illinois,27238,25923,55,17,109,43591,4551,95.17,0.2
McHenry County, Illinois,310229,282016,981,17,111,90014,2200,90.91,0.32
McLean County, Illinois,170954,160145,535,17,113,68037,2128,93.68,0.31
Macon County, Illinois,103998,97882,323,17,115,53725,1750,94.12,0.31
Macoupin County, Illinois,44967,42885,52,17,117,56264,3300,95.37,0.12
Madison County, Illinois,265859,248996,722,17,119,64045,1578,93.66,0.27
Marshall County, Illinois,11742,11237,25,17,123,57303,3497,95.7,0.21
Mason County, Illinois,13086,12570,26,17,125,50883,2457,96.06,0.2
Menard County, Illinois,12297,11749,20,17,129,77550,5810,95.54,0.16
Mercer County, Illinois,15699,14993,23,17,131,57182,3231,95.5,0.15
Montgomery County, Illinois,28288,27248,34,17,135,54886,3277,96.32,0.12
Morgan County, Illinois,32915,31489,75,17,137,53002,2938,95.67,0.23
Ogle County, Illinois,51788,47999,155,17,141,63643,2156,92.68,0.3
Perry County, Illinois,20945,20163,47,17,145,51616,4453,96.27,0.22
Piatt County, Illinois,16673,15971,48,17,147,73668,5731,95.79,0.29
Pope County, Illinois,3763,3599,14,17,151,43140,9234,95.64,0.37
Pulaski County, Illinois,5193,4943,27,17,153,37308,4116,95.19,0.52
Randolph County, Illinois,30163,28874,48,17,157,55319,3538,95.73,0.16
Richland County, Illinois,15813,15224,21,17,159,55032,5066,96.28,0.13
St. Clair County, Illinois,257400,240008,1200,17,163,57473,2221,93.24,0.47
Sangamon County, Illinois,196343,184738,602,17,167,61743,1673,94.09,0.31
Schuyler County, Illinois,6902,6602,25,17,169,51376,4895,95.65,0.36
Shelby County, Illinois,20990,20480,24,17,173,59134,2586,97.57,0.11
Stark County, Illinois,5400,5210,11,17,175,53828,4894,96.48,0.2
Tazewell County, Illinois,131343,125211,254,17,179,66220,1634,95.33,0.19
